                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2464,                 1.9057,                0.91135,                  1.545,                0.77293,                 0.6127,                   0.69,                0.41997,                0.75265,                0.60889,                0.67437,                0.36587,                  1.434,                 2.1283,                 1.1768,                 1.7984,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.2902,                 1.8516,                0.90376,                 1.5603,                0.76524,                0.64469,                0.72813,                0.45527,                0.80683,                    0.6,                0.70388,                0.39329,                 1.4127,                 2.1281,                 1.0407,                 1.7717,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.2566,                 1.8337,                0.90831,                 1.5778,                0.75735,                0.64444,                0.71322,                0.41263,                0.77447,                0.60285,                0.68971,                0.36671,                 1.5253,                 2.1561,                 1.1313,                  1.857,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.2864,                 1.8056,                0.93075,                 1.5846,                0.81874,                0.62234,                0.72523,                0.44281,                0.82672,                0.62222,                0.70746,                0.39561,                 1.4067,                 2.1456,                 1.0669,                 1.7648,              0.0011684,              0.0011684,              0.0011684
                     87,                  1.255,                 1.7444,                0.89393,                 1.5381,                0.77271,                0.61193,                0.70037,                0.42793,                0.76754,                0.60167,                0.69037,                0.38212,                 1.4343,                 2.0254,                 1.1312,                 1.8174,              0.0011585,              0.0011585,              0.0011585
                     88,                  1.267,                 1.8198,                0.89264,                 1.5557,                0.74169,                0.63333,                0.69912,                0.41102,                0.76393,                0.61556,                0.68513,                0.35436,                 1.5082,                 2.1214,                 1.1726,                  1.808,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.2916,                 1.7764,                0.91087,                 1.5807,                0.71585,                0.61333,                0.68823,                0.42245,                0.73043,                0.60667,                0.67953,                 0.3753,                 1.4126,                 2.0999,                 1.1224,                  1.758,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.2894,                 1.8001,                 0.9309,                 1.5632,                0.73645,                0.67778,                0.72534,                0.44402,                0.72637,                0.66889,                0.69676,                0.39078,                 1.4173,                 2.0804,                 1.0524,                 1.7786,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.2615,                 1.8258,                0.93864,                 1.5388,                0.78014,                0.60889,                0.71195,                0.42349,                 0.7701,                0.60296,                0.67778,                0.36716,                 1.4842,                 2.1643,                 1.1152,                 1.8296,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.2411,                 1.7584,                 0.8955,                 1.5144,                0.78575,                0.65111,                0.73724,                0.45501,                0.80942,                 0.6418,                0.72952,                0.41008,                 1.3746,                   2.02,                 1.0606,                 1.7182,               0.001109,               0.001109,               0.001109
                     93,                 1.1889,                 1.7088,                0.86772,                 1.4924,                 0.7493,                0.54444,                0.63669,                0.39924,                0.79959,                 0.5231,                0.62177,                0.34371,                 1.4326,                 2.2317,                 1.2736,                 1.7927,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.1678,                 1.7339,                0.82718,                 1.4907,                0.81508,                0.59748,                0.71153,                0.42746,                0.82139,                0.57778,                0.68334,                0.38299,                 1.4683,                 2.1697,                 1.0832,                 1.8213,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.2146,                 1.8216,                 0.8586,                 1.5221,                0.81866,                0.65333,                0.75193,                0.46649,                0.79638,                0.63556,                0.72761,                0.40398,                 1.3733,                 2.0592,                 1.0195,                 1.7224,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.1964,                 1.7571,                0.85046,                 1.5004,                 0.8096,                0.66444,                0.74792,                0.45966,                0.80353,                0.65438,                0.73113,                0.40662,                 1.4092,                 2.0663,                0.99165,                 1.7502,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.1576,                 1.7505,                0.79908,                 1.4753,                0.69928,                0.55556,                0.62833,                0.37454,                0.73536,                0.52667,                0.60984,                0.34546,                  1.577,                 2.2808,                 1.3086,                 1.8695,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.2186,                 1.7437,                0.84781,                 1.4921,                0.80343,                0.65556,                0.73962,                0.45691,                0.80465,                0.64444,                0.72826,                0.39377,                 1.4107,                 2.0365,                 1.0098,                 1.7947,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.2023,                 1.7686,                0.85937,                 1.4916,                0.78691,                0.64829,                0.74791,                0.46205,                0.78925,                0.64914,                0.72558,                0.40136,                 1.4183,                 2.1485,                0.98474,                 1.7524,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.1691,                 1.6668,                0.81526,                 1.4668,                0.80095,                0.68667,                0.76483,                0.48373,                0.80152,                0.66222,                0.74193,                0.42286,                 1.3674,                 2.1271,                0.96422,                 1.7004,              0.0010298,              0.0010298,              0.0010298
